txPk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0.08565878,47,0.1718025752,47
0.08566254,847,0.1719224952,1499
0.0857303,47,0.1719262552,47
0.08573406,847,0.1720461752,1499
0.08580182,47,0.1720499352,47
0.08580558,847,0.1721698552,1499
0.08587334,47,0.1721736152,47
0.0858771,847,0.1722935352,1499
0.08594486,47,0.1722972952,47
0.08594862,847,0.1724172152,1499
0.08601638,47,0.1724209752,47
0.08602014,847,0.1725408952,1499
0.0860879,47,0.1725446552,47
0.08609166,847,0.1726645752,1499
0.08615942,47,0.1726683352,47
0.08616318,847,0.1727882552,1499
0.08623094,47,0.1727920152,47
0.0862347,847,0.1729119352,1499
0.08630246,47,0.1729156952,47
0.08630622,847,0.1730356152,1499
0.08637398,47,0.1730393752,47
0.08637774,847,0.1731592952,1499
0.0864455,47,0.1731630552,47
0.08644926,847,0.1732829752,1499
0.08651702,47,0.1732867352,47
0.08652078,847,0.1734066552,1499
0.08658854,47,0.1734104152,47
0.0865923,847,0.1735303352,1499
0.08666006,47,0.1735340952,47
0.08666382,847,0.1736540152,1499
0.08673158,47,0.1736577752,47
0.08673534,847,0.1737776952,1499
0.0868031,47,0.1737814552,47
0.08680686,247,0.1739013752,1499
0.08682662,47,0.1739051352,47
0.08683038,247,0.1740250552,1499
0.08685014,47,0.1740288152,47
0.0868539,47,0.1741487352,1499
0.08685766,47,0.1741524952,47
0.08686142,47,0.1742724152,1499
0.08686518,47,0.1742761752,47
0.08686894,47,0.1743960952,1499
0.0868727,47,0.1743998552,47
0.08687646,47,0.1745197752,1499
0.08688022,47,0.1745235352,47
0.08688398,47,0.1746434552,1499
0.08688774,47,0.1746472152,47
0.0868915,47,0.1747671352,1499
0.08689526,47,0.178469168,47
0.08689902,47,0.178789088,1499
