txPk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),
0.522597636476,47,0.535114521395,1499
0.523017556476,47,0.535490474486,1499
0.52333431932,51,0.535610394486,1499
0.523937476476,47,0.535930314486,1499
0.524257396476,47,0.537250234486,1499
0.525277316476,47,0.537870154486,1499
0.525697236476,47,0.538590074486,1499
0.525817156476,47,0.539109994486,1499
0.526636277276,47,0.539929914486,1499
0.526956197276,47,0.541249834486,1499
0.527108041244,47,0.542569754486,1499
0.527111801244,247,0.543718761846,1499
0.527937569244,47,0.543838681846,1499
0.528357489244,47,0.543958601846,1499
0.528672485948,47,0.544430919666,1499
0.528792405948,47,0.544550839666,1499
0.529311126748,47,0.544670759666,1499
0.529631046748,47,0.545290679666,1499
