numActiveSessions:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[15].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[15].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHliveDelay:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostLVD[15].tcp.conn-471 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHEstimatedBitrate:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
,,,,,,,,,,,,3.2062060472,47,3.2140955672,1499,,,,,3.2452049272,0.204885546400000006,,,,
,,,,,,,,,,,,3.2140955672,47,3.2192641272,1499,,,,,3.2520322872,0.21171290640000001,,,,
,,,,,,,,,,,,3.2192641272,47,3.2282680472,1499,,,,,3.2582521272,0.217932746399999987,,,,
,,,,,,,,,,,,3.2282680472,47,3.2343139672,1499,,,,,3.2651475672,0.224828186399999961,,,,
,,,,,,,,,,,,3.2343139672,47,3.2391669272,1499,,,,,3.2726546072,0.232335226399999982,,,,
,,,,,,,,,,,,3.2391669272,47,3.2452049272,1499,,,,,3.2780936472,0.237774266399999988,,,,
,,,,,,,,,,,,3.2452049272,47,3.2520322872,1499,,,,,3.2845567672,0.244237386399999977,,,,
,,,,,,,,,,,,3.2520322872,47,3.2582521272,1499,,,,,3.2887246872,0.248405306399999968,,,,
,,,,,,,,,,,,3.2582521272,47,3.2651475672,1499,,,,,3.2913629272,0.251043546399999927,,,,
,,,,,,,,,,,,3.2651475672,47,3.2726546072,1499,,,,,3.2979825272,0.257663146399999986,,,,
,,,,,,,,,,,,3.2726546072,47,3.2780936472,1499,,,,,3.3042950872,0.263975706400000008,,,,
,,,,,,,,,,,,3.2780936472,47,3.2845567672,1499,,,,,3.3108674072,0.270548026399999973,,,,
,,,,,,,,,,,,3.2845567672,47,3.2887246872,1499,,,,,3.3175394872,0.277220106399999942,,,,
,,,,,,,,,,,,3.2887246872,47,3.2913629272,1499,,,,,3.3240811672,0.283761786399999936,,,,
,,,,,,,,,,,,3.2913629272,47,3.2979825272,1499,,,,,3.3306534872,0.290334106400000012,,,,
,,,,,,,,,,,,3.2979825272,47,3.3042950872,1499,,,,,3.3373654072,0.297046026399999995,,,,
,,,,,,,,,,,,3.3042950872,47,3.3108674072,1499,,,,,3.3443198872,0.304000506399999979,,,,
,,,,,,,,,,,,3.3108674072,47,3.3175394872,1499,,,,,3.3520737272,0.311754346399999991,,,,
,,,,,,,,,,,,3.3175394872,47,3.3240811672,1499,,,,,3.3570084472,0.31668906639999994,,,,
,,,,,,,,,,,,3.3240811672,47,3.3306534872,1499,,,,,3.4372538712,0.396934490399999948,,,,
,,,,,,,,,,,,3.3306534872,47,3.3373654072,1499,,,,,4.0821205272,0.041798233599999998,,,,
,,,,,,,,,,,,3.3373654072,47,3.3443198872,1499,,,,,4.0860936472,0.045771353599999994,,,,
,,,,,,,,,,,,3.3443198872,47,3.3520737272,1499,,,,,4.0901110072,0.049788713599999992,,,,
,,,,,,,,,,,,3.3520737272,47,3.3570084472,1499,,,,,4.0951634072,0.05484111359999999,,,,
,,,,,,,,,,,,3.3570084472,47,3.4372538712,457,,,,,4.1004698872,0.060147593599999993,,,,
,,,,,,,,,,,,3.4372538712,47,4.0819889912,47,,,,,4.1076386072,0.067316313599999982,,,,
,,,,,,,,,,,,4,247,4.0821205272,1499,,,,,4.1143426872,0.074020393599999983,,,,
,,,,,,,,,,,,4.0821205272,47,4.0860936472,1499,,,,,4.1198098072,0.079487513600000003,,,,
,,,,,,,,,,,,4.0860936472,47,4.0901110072,1499,,,,,4.1264650872,0.086142793599999989,,,,
,,,,,,,,,,,,4.0901110072,47,4.0951634072,1499,,,,,4.1346344472,0.094312153600000003,,,,
,,,,,,,,,,,,4.0951634072,47,4.1004698872,1499,,,,,4.1396330072,0.099310713599999988,,,,
,,,,,,,,,,,,4.1004698872,47,4.1076386072,1499,,,,,4.1463642872,0.106041993599999994,,,,
,,,,,,,,,,,,4.1076386072,47,4.1143426872,1499,,,,,4.1527380472,0.1124157536,,,,
,,,,,,,,,,,,4.1143426872,47,4.1198098072,1499,,,,,4.1593955672,0.1190732736,,,,
