numActiveSessions:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostVID[0].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[0].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostVID[0].tcp.conn-511 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
,,,,,,,,,,,,0.736093023478,47,0.741369147359,1499,,,0.751992133217,0.402077166353999925,,
,,,,,,,,,,,,0.741369147359,47,0.746657257607,1499,,,0.757333902616,0.40741893575299992,,
,,,,,,,,,,,,0.746657257607,47,0.751992133217,1499,,,0.762678773276,0.41276380641299992,,
,,,,,,,,,,,,0.751992133217,47,0.757333902616,1499,,,0.76819797861,0.418283011746999997,,
,,,,,,,,,,,,0.757333902616,47,0.762678773276,1499,,,0.773437278098,0.423522311234999946,,
,,,,,,,,,,,,0.762678773276,47,0.76819797861,1499,,,0.778812160206,0.428897193343000025,,
,,,,,,,,,,,,0.76819797861,47,0.773437278098,1499,,,0.784146190803,0.434231223940000019,,
,,,,,,,,,,,,0.773437278098,47,0.778812160206,1499,,,0.791158037099,0.441243070235999954,,
,,,,,,,,,,,,0.778812160206,47,0.784146190803,1499,,,0.794807186017,0.44489221915400001,,
,,,,,,,,,,,,0.784146190803,47,0.791158037099,1499,,,0.800822111465,0.450907144601999985,,
,,,,,,,,,,,,0.791158037099,47,0.794807186017,1499,,,0.805652196148,0.455737229284999932,,
,,,,,,,,,,,,0.794807186017,47,0.800822111465,1499,,,0.810931708007,0.461016741143999928,,
,,,,,,,,,,,,0.800822111465,47,0.805652196148,1499,,,0.816236937228,0.466321970365000003,,
,,,,,,,,,,,,0.805652196148,47,0.810931708007,1499,,,0.821586191359,0.471671224495999961,,
