rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[3].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.router0.ppp[3].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
1.5179290832,47,1.5209429952,1499
1.5209555632,47,1.5276941152,1499
1.5277066832,47,1.5315709952,1499
1.5315835632,47,1.5374868352,1499
1.5374994032,47,1.5423023552,1499
1.5423149232,47,1.5497109152,1499
1.5497234832,47,1.5530791552,1499
1.5530917232,47,1.5637407552,1499
1.5637533232,47,1.5638606752,1499
1.5638732432,47,1.5743929152,1499
1.5744054832,47,1.5752323552,1499
1.5752449232,47,1.5851765152,1499
1.5851890832,47,1.5904012352,1499
1.5904138032,47,1.5958216352,1499
1.5958342032,47,1.6020073952,1499
1.6020199632,47,1.6065067552,1499
1.6065193232,47,1.6143881152,1499
1.6144006832,47,1.6172841952,1499
1.6172967632,47,1.6274499552,1499
1.6274625232,47,1.6279356352,1499
1.6279482032,47,1.6387185952,1499
1.6387311632,47,1.6412596352,1499
1.6412722032,47,1.6493602752,1499
1.6493728432,47,1.6518893152,1499
1.6519018832,47,1.6601262752,1499
1.6601388432,47,1.6608577952,1499
1.6608703632,47,1.6706935552,1499
1.6707061232,47,1.6708134752,1499
1.6708260432,47,1.6809634752,1499
1.6809760432,47,1.6815630752,1499
1.6815756432,47,1.6919230752,1499
1.6919356432,47,1.6922828352,1499
1.6922954032,47,1.7021822752,1499
1.7021948432,47,1.7029077952,1499
1.7029203632,47,1.7120170752,1499
1.7120296432,47,1.7136107552,1499
1.7136233232,47,1.7215727552,1499
1.7215853232,47,1.7243398752,1499
1.7243524432,47,1.7304755552,1499
1.7304881232,47,1.7350839552,1499
1.7350965232,47,1.7404270752,1499
1.7404396432,47,1.7457502752,1499
1.7457628432,47,1.7512212352,1499
1.7512338032,47,1.7564137952,1499
1.7564263632,47,1.7617867552,1499
1.7617993232,47,1.7657019552,1499
1.7657145232,47,1.7710598752,1499
1.7710724432,47,1.7763997952,1499
1.7764123632,47,1.7817122752,1499
1.7817248432,47,1.7886184352,1499
1.7886310032,47,1.7937881952,1499
1.7938007632,47,1.7977881952,1499
1.7978007632,47,1.8038760352,1499
1.8038886032,47,1.8100437152,1499
1.8100562832,47,1.8179297952,1499
